序号,通道,D1,D2,D3,D4,D5,D6,D7,autoscan,MCU,设备类型,设备测试指令,点位,测试值,上限,下限,测试结果,是否结束,补偿
26,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-3,无,2.5,3,无,Y,无
27,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-3,无,0.52,0.48,无,Y,无
28,CHANnel1,0,0,0,0,0,30,0,无,1,示波,:MEASure:FREQuency? ,J1-2,无,1050000,950000,无,Y,无
29,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-2,无,2.5,3,无,Y,无
30,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-2,无,0.52,0.48,无,Y,无
31,CHANnel1,0,0,0,0,0,40,0,无,1,示波,:MEASure:FREQuency? ,J1-3,无,1050000,950000,无,Y,无
32,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-3,无,2.5,3,无,Y,无
33,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-3,无,0.52,0.48,无,Y,无
34,CHANnel1,0,0,0,0,0,50,0,无,1,示波,:MEASure:FREQuency? ,J1-2,无,1050000,950000,无,Y,无
35,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-2,无,2.5,3,无,Y,无
36,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-2,无,0.52,0.48,无,Y,无
37,CHANnel1,0,0,0,0,0,60,0,无,1,示波,:MEASure:FREQuency? ,J1-3,无,1050000,950000,无,Y,无
38,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-3,无,2.5,3,无,Y,无
39,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-3,无,0.52,0.48,无,Y,无
40,CHANnel1,0,0,0,0,0,70,0,无,1,示波,:MEASure:FREQuency? ,J1-2,无,1050000,950000,无,Y,无
41,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-2,无,2.5,3,无,Y,无
42,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-2,无,0.52,0.48,无,Y,无
43,CHANnel1,0,0,0,0,0,80,0,无,1,示波,:MEASure:FREQuency? ,J1-3,无,1050000,950000,无,Y,无
44,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-3,无,2.5,3,无,Y,无
45,CHANnel1,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-3,无,0.52,0.48,无,Y,无
46,CHANnel2,0,0,0,0,0,1,0,AUTOSACLE,1,示波,:MEASure:FREQuency? ,J1-2,无,1050000,950000,无,Y,无
47,CHANnel2,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-2,无,2.5,3,无,Y,无
48,CHANnel2,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-2,无,0.52,0.48,无,Y,无
49,CHANnel2,0,0,0,0,0,2,0,无,1,示波,:MEASure:FREQuency? ,J1-3,无,1050000,950000,无,Y,无
50,CHANnel2,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-3,无,2.5,3,无,Y,无
51,CHANnel2,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-3,无,0.52,0.48,无,Y,无
52,CHANnel2,0,0,0,0,0,3,0,无,1,示波,:MEASure:FREQuency? ,J1-2,无,1050000,950000,无,Y,无
53,CHANnel2,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-2,无,2.5,3,无,Y,无
54,CHANnel2,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-2,无,0.52,0.48,无,Y,无
55,CHANnel2,0,0,0,0,0,4,0,无,1,示波,:MEASure:FREQuency? ,J1-3,无,1050000,950000,无,Y,无
56,CHANnel2,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-3,无,2.5,3,无,Y,无
57,CHANnel2,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-3,无,0.52,0.48,无,Y,无
58,CHANnel2,0,0,0,0,0,5,0,无,1,示波,:MEASure:FREQuency? ,J1-2,无,1050000,950000,无,Y,无
59,CHANnel2,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-2,无,2.5,3,无,Y,无
60,CHANnel2,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-2,无,0.52,0.48,无,Y,无
61,CHANnel2,0,0,0,0,0,6,0,无,1,示波,:MEASure:FREQuency? ,J1-3,无,1050000,950000,无,Y,无
62,CHANnel2,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-3,无,2.5,3,无,Y,无
63,CHANnel2,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-3,无,0.52,0.48,无,Y,无
64,CHANnel2,0,0,0,0,0,7,0,无,1,示波,:MEASure:FREQuency? ,J1-2,无,1050000,950000,无,Y,无
65,CHANnel2,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-2,无,2.5,3,无,Y,无
66,CHANnel2,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-2,无,0.52,0.48,无,Y,无
67,CHANnel2,0,0,0,0,0,8,0,无,1,示波,:MEASure:FREQuency? ,J1-3,无,1050000,950000,无,Y,无
68,CHANnel2,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-3,无,2.5,3,无,Y,无
69,CHANnel2,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-3,无,0.52,0.48,无,Y,无
70,CHANnel3,0,0,0,0,0,0,10,AUTOSACLE,1,示波,:MEASure:FREQuency? ,J1-2,无,1050000,950000,无,Y,无
71,CHANnel3,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-2,无,2.5,3,无,Y,无
72,CHANnel3,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-2,无,0.52,0.48,无,Y,无
73,CHANnel3,0,0,0,0,0,0,20,无,1,示波,:MEASure:FREQuency? ,J1-3,无,1050000,950000,无,Y,无
74,CHANnel3,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-3,无,2.5,3,无,Y,无
75,CHANnel3,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-3,无,0.52,0.48,无,Y,无
76,CHANnel3,0,0,0,0,0,0,30,无,1,示波,:MEASure:FREQuency? ,J1-2,无,1050000,950000,无,Y,无
77,CHANnel3,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-2,无,2.5,3,无,Y,无
78,CHANnel3,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-2,无,0.52,0.48,无,Y,无
79,CHANnel3,0,0,0,0,0,0,40,无,1,示波,:MEASure:FREQuency? ,J1-3,无,1050000,950000,无,Y,无
80,CHANnel3,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-3,无,2.5,3,无,Y,无
81,CHANnel3,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-3,无,0.52,0.48,无,Y,无
82,CHANnel3,0,0,0,0,0,0,50,无,1,示波,:MEASure:FREQuency? ,J1-2,无,1050000,950000,无,Y,无
83,CHANnel3,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-2,无,2.5,3,无,Y,无
84,CHANnel3,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-2,无,0.52,0.48,无,Y,无
85,CHANnel3,0,0,0,0,0,0,60,无,1,示波,:MEASure:FREQuency? ,J1-3,无,1050000,950000,无,Y,无
86,CHANnel3,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-3,无,2.5,3,无,Y,无
87,CHANnel3,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-3,无,0.52,0.48,无,Y,无
88,CHANnel3,0,0,0,0,0,0,70,无,1,示波,:MEASure:FREQuency? ,J1-2,无,1050000,950000,无,Y,无
89,CHANnel3,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-2,无,2.5,3,无,Y,无
90,CHANnel3,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-2,无,0.52,0.48,无,Y,无
91,CHANnel3,0,0,0,0,0,0,80,无,1,示波,:MEASure:FREQuency? ,J1-3,无,1050000,950000,无,Y,无
92,CHANnel3,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-3,无,2.5,3,无,Y,无
93,CHANnel3,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-3,无,0.52,0.48,无,Y,无
70,CHANnel4,0,0,0,0,0,0,1,AUTOSACLE,1,示波,:MEASure:FREQuency? ,J1-2,无,1050000,950000,无,Y,无
71,CHANnel4,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-2,无,2.5,3,无,Y,无
72,CHANnel4,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-2,无,0.52,0.48,无,Y,无
73,CHANnel4,0,0,0,0,0,0,2,无,1,示波,:MEASure:FREQuency? ,J1-3,无,1050000,950000,无,Y,无
74,CHANnel4,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-3,无,2.5,3,无,Y,无
75,CHANnel4,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-3,无,0.52,0.48,无,Y,无
76,CHANnel4,0,0,0,0,0,0,3,无,1,示波,:MEASure:FREQuency? ,J1-2,无,1050000,950000,无,Y,无
77,CHANnel4,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-2,无,2.5,3,无,Y,无
78,CHANnel4,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-2,无,0.52,0.48,无,Y,无
79,CHANnel4,0,0,0,0,0,0,4,无,1,示波,:MEASure:FREQuency? ,J1-3,无,1050000,950000,无,Y,无
80,CHANnel4,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-3,无,2.5,3,无,Y,无
81,CHANnel4,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-3,无,0.52,0.48,无,Y,无
82,CHANnel4,0,0,0,0,0,0,5,无,1,示波,:MEASure:FREQuency? ,J1-2,无,1050000,950000,无,Y,无
83,CHANnel4,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-2,无,2.5,3,无,Y,无
84,CHANnel4,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-2,无,0.52,0.48,无,Y,无
85,CHANnel4,0,0,0,0,0,0,6,无,1,示波,:MEASure:FREQuency? ,J1-3,无,1050000,950000,无,Y,无
86,CHANnel4,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-3,无,2.5,3,无,Y,无
87,CHANnel4,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-3,无,0.52,0.48,无,Y,无
88,CHANnel4,0,0,0,0,0,0,7,无,1,示波,:MEASure:FREQuency? ,J1-2,无,1050000,950000,无,Y,无
89,CHANnel4,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-2,无,2.5,3,无,Y,无
90,CHANnel4,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-2,无,0.52,0.48,无,Y,无
91,CHANnel4,0,0,0,0,0,0,8,无,1,示波,:MEASure:FREQuency? ,J1-3,无,1050000,950000,无,Y,无
92,CHANnel4,无,无,无,无,无,无,无,无,无,示波,:MEASure:VPP? ,J1-3,无,2.5,3,无,Y,无
93,CHANnel4,无,无,无,无,无,无,无,无,无,示波,:MEASure:PDUTy?,J1-3,无,0.52,0.48,无,Y,无
