序号,通道,D1,D2,D3,D4,D5,D6,D7,autoscan,MCU,设备类型,设备测试指令,点位,测试值,上限,下限,测试结果,是否结束,补偿,配置提示
18,(@501),17,0,0,0,1,0,0,无,1,M300,MEAS:VOLT:DC? ,LED2指示灯亮,无,1,0,无,N,无,0
19,无,无,无,无,无,无,无,无,无,无,callsub2,cmdbootloader_Click,烧写 Bootloader,无,0.8,0.1,无,N,无,0
20,(@501),0,0,0,0,0,0,0,无,2,无,给单板断电,无,无,无,无,无,N,无,0
21,无,0,0,0,1,1,0,0,无,1,无,U盘上电 利用3根线短在一起,无,无,无,无,无,N,无,0
22,(@501),0,0,0,0,0,1,0,无,2,无,给单板上电，等待U盘烧写，大约6s,烧写 pro800.bin 程序,无,无,无,无,N,无,0
23,无,无,无,无,无,无,无,无,无,无,提示,判断烧录完成 进行启动检测(正常启动，蜂鸣一声时),,无,无,无,无,N,无,0
24,无,无,无,无,无,无,无,无,无,无,提示,判断VDD VBAT,无,无,无,无,无,N,无,0
25,无,0,0,0,0,1,0,0,无,1,无,完成后U盘断电,无,无,无,无,无,N,无,0
AAA,AA
99,无,0,0,0,0,17,0,0,无,1,无,读取串口COMJ15R,4路ADC对GND电压值,无,0.5,0,无,N,无,0
13,无,无,无,无,无,无,无,无,无,无,提示,临时中断。。。,无,无,无,无,无,N,无,0
13,无,无,无,无,无,无,无,无,无,无,COMJ15R,读取ADC电压,无,无,无,无,无,N,无,0
99,无,0,0,0,0,1,0,0,无,1,无,无,无,无,无,无,无,N,无,0
99,无,0,1,0,0,0,1,0,无,2,无,读取串口COMJ15R,4路ADC对DC3V3电压值,无,3.45,3.15,无,N,无,0
13,无,无,无,无,无,无,无,无,无,无,提示,临时中断。。。,无,无,无,无,无,N,无,0
13,无,无,无,无,无,无,无,无,无,无,COMJ15R,读取ADC电压,无,无,无,无,无,N,无,0
99,无,0,0,0,0,0,1,0,无,2,无,无,无,无,无,无,无,N,无,0
99,无,0,0,0,0,33,0,0,无,1,无,读取串口COMJ15R,4路ADC对24V电压值,无,26,22,无,N,无,0
13,无,无,无,无,无,无,无,无,无,无,提示,临时中断。。。,无,无,无,无,无,N,无,0
13,无,无,无,无,无,无,无,无,无,无,COMJ15R,读取ADC电压,无,无,无,无,无,N,无,0
99,无,0,0,0,0,1,0,0,无,1,无,无,无,无,无,无,无,N,无,0
26,(@501),3,0,0,0,1,0,0,无,1,M300,MEAS:VOLT:DC? ,V12对GND电压,调试后确定,12.6,11.4,无,N,无,0
27,(@501),4,0,0,0,1,0,0,无,1,M300,MEAS:VOLT:DC? ,DC_5V-LDO对GND电压,调试后确定,5.25,4.75,无,N,无,0
28,(@501),5,0,0,0,1,0,0,无,1,M300,MEAS:VOLT:DC? ,MCU_DC3V3对GND电压,调试后确定,5.25,4.75,无,N,无,0
29,(@501),6,0,0,0,1,0,0,无,1,M300,MEAS:VOLT:DC? ,DC5V对GND电压,调试后确定,3.45,3.15,无,N,无,0
30,(@501),7,0,0,0,1,0,0,无,1,M300,MEAS:VOLT:DC? ,DC3V3_ON对GND电压,调试后确定,3.45,3.15,无,N,无,0
31,(@501),8,0,0,0,1,0,0,无,1,M300,MEAS:VOLT:DC? ,J13的DC5V对GND电压,调试后确定,5.25,4.75,无,N,无,0
32,(@501),9,0,0,0,1,0,0,无,1,M300,MEAS:VOLT:DC? ,J14的DC5V对GND电压,调试后确定,5.25,4.75,无,N,无,0
33,(@501),10,0,0,0,1,0,0,无,1,M300,MEAS:VOLT:DC? ,J17的DC5V对GND电压,调试后确定,3.45,3.15,无,N,无,0
34,(@501),11,0,0,0,1,0,0,无,1,M300,MEAS:VOLT:DC? ,J15的DC3V3对GND电压,调试后确定,5.25,4.75,无,N,无,0
35,(@501),12,0,0,0,1,0,0,无,1,M300,MEAS:VOLT:DC? ,J15的MCU_DC3V3对GND电压,调试后确定,3.45,3.15,无,N,无,0
36,无,无,无,无,无,无,无,无,无,无,提示,检测测试准确性…，完成后按确定继续测试,无,无,无,无,无,N,无,0
37,(@501),33,0,0,0,1,0,0,无,1,M300,MEAS:VOLT:DC? ,33,调试后确定,3.45,3.15,无,N,无,0
38,(@501),34,0,0,0,1,0,0,无,1,M300,MEAS:VOLT:DC? ,34,调试后确定,3.45,3.15,无,N,无,0
39,(@501),35,0,0,0,1,0,0,无,1,M300,MEAS:VOLT:DC? ,35,调试后确定,3.45,3.15,无,N,无,0
40,(@501),36,0,0,0,1,0,0,无,1,M300,MEAS:VOLT:DC? ,36,调试后确定,3.45,3.15,无,N,无,0
41,(@501),37,0,0,0,1,0,0,无,1,M300,MEAS:VOLT:DC? ,37,调试后确定,3.45,3.15,无,N,无,0
42,(@501),38,0,0,0,1,0,0,无,1,M300,MEAS:VOLT:DC? ,38,调试后确定,3.45,3.15,无,N,无,0
43,(@505),无,无,无,无,无,无,无,无,无,M300,MEAS:VOLT:DC? ,505,调试后确定,3.45,3.15,无,N,无,0
44,(@506),无,无,无,无,无,无,无,无,无,M300,MEAS:VOLT:DC? ,506,调试后确定,3.45,3.15,无,N,无,0
45,(@507),无,无,无,无,无,无,无,无,无,M300,MEAS:VOLT:DC? ,507,调试后确定,3.45,3.15,无,N,无,0
46,(@508),无,无,无,无,无,无,无,无,无,M300,MEAS:VOLT:DC? ,508,调试后确定,3.45,3.15,无,N,无,0
47,无,CC,0,0,0,0,0F,3,无,无,COMJ15W,发送串口数据55 77 CC 00 00 00 00 0F 03,无,无,无,无,无,N,无,0
37,(@501),33,0,0,0,1,0,0,无,1,M300,MEAS:VOLT:DC? ,33,调试后确定,3.45,3.15,无,N,无,0
38,(@501),34,0,0,0,1,0,0,无,1,M300,MEAS:VOLT:DC? ,34,调试后确定,3.45,3.15,无,N,无,0
39,(@501),35,0,0,0,1,0,0,无,1,M300,MEAS:VOLT:DC? ,35,调试后确定,3.45,3.15,无,N,无,0
40,(@501),36,0,0,0,1,0,0,无,1,M300,MEAS:VOLT:DC? ,36,调试后确定,3.45,3.15,无,N,无,0
41,(@501),37,0,0,0,1,0,0,无,1,M300,MEAS:VOLT:DC? ,37,调试后确定,3.45,3.15,无,N,无,0
42,(@501),38,0,0,0,1,0,0,无,1,M300,MEAS:VOLT:DC? ,38,调试后确定,3.45,3.15,无,N,无,0
43,(@505),无,无,无,无,无,无,无,无,无,M300,MEAS:VOLT:DC? ,505,调试后确定,3.45,3.15,无,N,无,0
44,(@506),无,无,无,无,无,无,无,无,无,M300,MEAS:VOLT:DC? ,506,调试后确定,3.45,3.15,无,N,无,0
45,(@507),无,无,无,无,无,无,无,无,无,M300,MEAS:VOLT:DC? ,507,调试后确定,3.45,3.15,无,N,无,0
46,(@508),无,无,无,无,无,无,无,无,无,M300,MEAS:VOLT:DC? ,508,调试后确定,3.45,3.15,无,N,无,0
47,无,BB,0,0,0,0,0,0,无,无,COMJ15W,发送串口数据55 77 BB 00 00 00 00 00,测DAC,无,无,无,无,N,无,0
48,(@502),13,0,0,0,1,0,0,无,1,M300,MEAS:VOLT:DC? ,未发送串口数据 M_IN对M_OUT电阻值,调试后确定,3.45,3.15,无,N,无,0
49,(@503),14,0,0,0,1,0,0,无,1,M300,MEAS:VOLT:DC? ,未发送串口数据 BAT+对A_CH电阻值,调试后确定,3.45,3.15,无,N,无,0
50,(@504),15,0,0,0,1,0,0,无,1,M300,MEAS:VOLT:DC? ,未发送串口数据 BAT+对H_CH电阻值,调试后确定,3.45,3.15,无,N,无,0
51,无,无,无,无,无,无,无,无,无,无,提示,检测测试准确性…，完成后按确定继续测试,无,无,无,无,无,N,无,0
52,无,0,0,0,0,0,0,0,无,2,无,关闭所有电压输出,MCU去电,无,无,无,无,N,无,0
53,无,0,0,0,0,0,0,0,无,1,无,关闭所有电压输出,MCU去电,无,无,无,无,N,无,0
