序号,映射地址,参数名,备注,默认值,最大值,最小值,数据类型,读写,参数,保护,PID,运动中是否可修改,使能时是否可修改,是否数组类型,是否可保存FLASH,轴相关,参数地址
50,,电机6实际电流,,0,65536,0,uint16_t,RO,,,Y,,,,,,
51,,电机7电流,,0,65536,0,uint16_t,RO,,,Y,,,,,,
52,,电机5极对数,极对数,0,65536,0,uint8_t,RW,Y,,,,,,,,
53,,电机6极对数,,0,65536,0,uint8_t,RW,Y,,,,,,,,
54,,电机5运行方向,运行方向,0,65536,0,int8_t,RW,,,,,,,,,
55,,电机6运行方向,,0,65536,0,int8_t,RW,,,,,,,,,
56,,电机0加速度,加速度,0,65536,0,int16_t,RW,Y,,,,,,,,
57,,电机1加速度,,0,65536,0,int16_t,RW,Y,,,,,,,,
58,,电机2加速度,,0,65536,0,int16_t,RW,Y,,,,,,,,
59,,电机3加速度,,0,65536,0,int16_t,RW,Y,,,,,,,,
60,,电机4加速度,,0,65536,0,int16_t,RW,Y,,,,,,,,
61,,电机5加速度,,0,65536,0,int16_t,RW,Y,,,,,,,,
62,,电机6加速度,,0,65536,0,int16_t,RW,Y,,,,,,,,
63,,电机7加速度,,0,65536,0,int16_t,RW,Y,,,,,,,,
64,,电机8加速度,,0,65536,0,int16_t,RW,Y,,,,,,,,
65,,电机9加速度,,0,65536,0,int16_t,RW,Y,,,,,,,,
66,,电机10加速度,,0,65536,0,int16_t,RW,Y,,,,,,,,
67,,电机11加速度,,0,65536,0,int16_t,RW,Y,,,,,,,,
68,,电机12加速度,,0,65536,0,int16_t,RW,Y,,,,,,,,
69,,电机13加速度,,0,65536,0,int16_t,RW,Y,,,,,,,,
70,,电机0减速度,减速度,0,65536,0,int16_t,RW,Y,,,,,,,,
71,,电机1减速度,,0,65536,0,int16_t,RW,Y,,,,,,,,
72,,电机2减速度,,0,65536,0,int16_t,RW,Y,,,,,,,,
73,,电机3减速度,,0,65536,0,int16_t,RW,Y,,,,,,,,
74,,电机4减速度,,0,65536,0,int16_t,RW,Y,,,,,,,,
75,,电机5减速度,,0,65536,0,int16_t,RW,Y,,,,,,,,
76,,电机6减速度,,0,65536,0,int16_t,RW,Y,,,,,,,,
77,,电机7减速度,,0,65536,0,int16_t,RW,Y,,,,,,,,
78,,电机8减速度,,0,65536,0,int16_t,RW,Y,,,,,,,,
79,,电机9减速度,,0,65536,0,int16_t,RW,Y,,,,,,,,
80,,电机10减速度,,0,65536,0,int16_t,RW,Y,,,,,,,,
81,,电机11减速度,,0,65536,0,int16_t,RW,Y,,,,,,,,
82,,电机12减速度,,0,65536,0,int16_t,RW,Y,,,,,,,,
83,,电机13减速度,,0,65536,0,int16_t,RW,Y,,,,,,,,
84,,电机0错误标志,错误标志,0,65536,0,uint8_t,RW,,,,,,,,,
85,,电机1错误标志,,0,65536,0,uint8_t,RW,,,,,,,,,
86,,电机2错误标志,,0,65536,0,uint8_t,RW,,,,,,,,,
87,,电机3错误标志,,0,65536,0,uint8_t,RW,,,,,,,,,
88,,电机4错误标志,,0,65536,0,uint8_t,RW,,,,,,,,,
89,,电机5错误标志,,0,65536,0,uint8_t,RW,,,,,,,,,
90,,电机6错误标志,,0,65536,0,uint8_t,RW,,,,,,,,,
91,,电机7错误标志,,0,65536,0,uint8_t,RW,,,,,,,,,
92,,电机8错误标志,,0,65536,0,uint8_t,RW,,,,,,,,,
93,,电机9错误标志,,0,65536,0,uint8_t,RW,,,,,,,,,
94,,电机10错误标志,,0,65536,0,uint8_t,RW,,,,,,,,,
95,,电机11错误标志,,0,65536,0,uint8_t,RW,,,,,,,,,
96,,电机12错误标志,,0,65536,0,uint8_t,RW,,,,,,,,,
97,,电机13错误标志,,0,65536,0,uint8_t,RW,,,,,,,,,
98,,电机5温度,温度,0,65536,0,int16_t,RO,,,Y,,,,,,
99,,电机6温度,,0,65536,0,int16_t,RO,,,Y,,,,,,
100,,风机温度,,0,65536,0,int16_t,RO,,,Y,,,,,,
101,,母线电压,,0,65536,0,int16_t,RO,,,Y,,,,,,
102,,电机0刹车信号,刹车,0,65536,0,uint8_t,RW,,,,,,,,,
103,,电机1刹车信号,,0,65536,0,uint8_t,RW,,,,,,,,,
104,,电机2刹车信号,,0,65536,0,uint8_t,RW,,,,,,,,,
105,,电机3刹车信号,,0,65536,0,uint8_t,RW,,,,,,,,,
106,,电机4刹车信号,,0,65536,0,uint8_t,RW,,,,,,,,,
107,,电机5刹车信号,,0,65536,0,uint8_t,RW,,,,,,,,,
108,,电机6刹车信号,,0,65536,0,uint8_t,RW,,,,,,,,,
109,,电机7刹车信号,,0,65536,0,uint8_t,RW,,,,,,,,,
110,,电机8刹车信号,,0,65536,0,uint8_t,RW,,,,,,,,,
111,,电机9刹车信号,,0,65536,0,uint8_t,RW,,,,,,,,,
112,,电机10刹车信号,,0,65536,0,uint8_t,RW,,,,,,,,,
113,,电机11刹车信号,,0,65536,0,uint8_t,RW,,,,,,,,,
114,,电机12刹车信号,,0,65536,0,uint8_t,RW,,,,,,,,,
115,,电机13刹车信号,,0,65536,0,uint8_t,RW,,,,,,,,,
116,,电机0Kp,无刷和推杆比例,0,32768,-32767,int16_t,RW,,,Y,,,,,,
117,,电机1Kp,,0,32768,-32767,int16_t,RW,,,Y,,,,,,
118,,电机2Kp,,0,32768,-32767,int16_t,RW,,,Y,,,,,,
119,,电机9Kp,,0,32768,-32767,int16_t,RW,,,Y,,,,,,
120,,电机5Kp,,0,32768,-32767,int16_t,RW,,,Y,,,,,,
121,,电机6Kp,,0,32768,-32767,int16_t,RW,,,Y,,,,,,
122,,电机0Ki,无刷和推杆积分,0,32768,-32767,int16_t,RW,,,Y,,,,,,
123,,电机1Ki,,0,32768,-32767,int16_t,RW,,,Y,,,,,,
124,,电机2Ki,,0,32768,-32767,int16_t,RW,,,Y,,,,,,
125,,电机9Ki,,0,32768,-32767,int16_t,RW,,,Y,,,,,,
126,,电机5Ki,,0,32768,-32767,int16_t,RW,,,Y,,,,,,
127,,电机6Ki,,0,32768,-32767,int16_t,RW,,,Y,,,,,,
128,,电机0Kd,无刷和推杆微分,0,32768,-32767,int16_t,RW,,,Y,,,,,,
129,,电机1Kd,,0,32768,-32767,int16_t,RW,,,Y,,,,,,
130,,电机2Kd,,0,32768,-32767,int16_t,RW,,,Y,,,,,,
131,,电机9Kd,,0,32768,-32767,int16_t,RW,,,Y,,,,,,
132,,电机5Kd,,0,32768,-32767,int16_t,RW,,,Y,,,,,,
133,,电机6Kd,,0,32768,-32767,int16_t,RW,,,Y,,,,,,
134,,电机0过流第一阶段电流限制,过流保护,0,65536,0,uint16_t,RW,,Y,,,,,,,
135,,电机1过流第一阶段电流限制,,0,65536,0,uint16_t,RW,,Y,,,,,,,
136,,电机2过流第一阶段电流限制,,0,65536,0,uint16_t,RW,,Y,,,,,,,
137,,电机9过流第一阶段电流限制,,0,65536,0,uint16_t,RW,,Y,,,,,,,
138,,电机3过流第一阶段电流限制,,0,65536,0,uint16_t,RW,,Y,,,,,,,
139,,电机4过流第一阶段电流限制,,0,65536,0,uint16_t,RW,,Y,,,,,,,
140,,电机5过流第一阶段电流限制,,0,65536,0,uint16_t,RW,,Y,,,,,,,
141,,电机6过流第一阶段电流限制,,0,65536,0,uint16_t,RW,,Y,,,,,,,
142,,电机0第二阶段过流限制,过流保护,0,65536,0,uint16_t,RW,,Y,,,,,,,
143,,电机1第二阶段过流限制,,0,65536,0,uint16_t,RW,,Y,,,,,,,
144,,电机2第二阶段过流限制,,0,65536,0,uint16_t,RW,,Y,,,,,,,
145,,电机9第二阶段过流限制,,0,65536,0,uint16_t,RW,,Y,,,,,,,
146,,电机3第二阶段过流限制,,0,65536,0,uint16_t,RW,,Y,,,,,,,
147,,电机4第二阶段过流限制,,0,65536,0,uint16_t,RW,,Y,,,,,,,
148,,电机5第二阶段过流限制,,0,65536,0,uint16_t,RW,,Y,,,,,,,
149,,电机6第二阶段过流限制,,0,65536,0,uint16_t,RW,,Y,,,,,,,
150,,电机0第一阶段错误累计,过流保护,0,65536,0,uint8_t,RW,,,,,,,,,
151,,电机1第一阶段错误累计,,0,65536,0,uint8_t,RW,,,,,,,,,
152,,电机2第一阶段错误累计,,0,65536,0,uint8_t,RW,,,,,,,,,
153,,电机3第一阶段错误累计,,0,65536,0,uint8_t,RW,,,,,,,,,
154,,电机4第一阶段错误累计,,0,65536,0,uint8_t,RW,,,,,,,,,
155,,电机5第一阶段错误累计,,0,65536,0,uint8_t,RW,,,,,,,,,
156,,电机6第一阶段错误累计,,0,65536,0,uint8_t,RW,,,,,,,,,
157,,电机7第一阶段错误累计,,0,65536,0,uint8_t,RW,,,,,,,,,
158,,电机0第二阶段错误累计,,0,65536,0,uint8_t,RW,,,,,,,,,
159,,电机1第二阶段错误累计,,0,65536,0,uint8_t,RW,,,,,,,,,
160,,电机2第二阶段错误累计,,0,65536,0,uint8_t,RW,,,,,,,,,
161,,电机3第二阶段错误累计,,0,65536,0,uint8_t,RW,,,,,,,,,
162,,电机4第二阶段错误累计,,0,65536,0,uint8_t,RW,,,,,,,,,
163,,电机5第二阶段错误累计,,0,65536,0,uint8_t,RW,,,,,,,,,
164,,电机6第二阶段错误累计,,0,65536,0,uint8_t,RW,,,,,,,,,
165,,电机7第二阶段错误累计,,0,65536,0,uint8_t,RW,,,,,,,,,
166,,无刷1霍尔当前值,霍尔位置,0,65536,0,uint8_t,RO,,,,,,,,,
167,,无刷2霍尔当前值,,0,65536,0,uint8_t,RO,,,,,,,,,
168,,无刷1霍尔学习数组,霍尔学习记录顺序,0,65536,0,uint8_t,RO,,,,,,,,,
169,,无刷2霍尔学习数组,,0,65536,0,uint8_t,RO,,,,,,,,,
170,,无刷1霍尔学习单次换向时间,换向一次时间1代表2ms StudySectorCnt3,0,65536,0,uint16_t,RW,,,,,,,,,
171,,无刷2霍尔学习电次换向时间,,0,65536,0,uint16_t,RW,,,,,,,,,
172,,无刷1霍尔学习换向次数,换向次数HallCommutationCnt,0,65536,0,uint8_t,RW,,,,,,,,,
173,,无刷2霍尔学习换向次数,,0,65536,0,uint8_t,RW,,,,,,,,,
174,,无刷1霍尔学习PWM,霍尔学习拖动PWM值,0,65536,0,int16_t,RW,,,,,,,,,
175,,无刷2霍尔学习PWM,,0,65536,0,int16_t,RW,,,,,,,,,
176,,推杆电机标定标志,推杆标定标志,0,65536,0,uint8_t,RW,,,,,,,,,
177,,全局错误,wGlobal_Flags,0,65536,0,uint32_t,RW,,Y,,,,,,,
178,,电机运行状态机,MotorState,0,65536,0,uint8_t,RW,,,,,,,,,
179,,水泵1频率,寄存器,0,65536,0,uint16_t,RW,,,,,,,,,
180,,水泵2频率,,0,65536,0,uint16_t,RW,,,,,,,,,
